Food,Protein,Fat,Carbs,Calories,Exercise Recommendation
Banana,1.7,1.2,33.0,277.8,Go for a 30-minute run
Banana,26.5,9.7,35.5,310.2,Go for a 30-minute run
Carrot,7.8,5.0,15.3,342.9,Go for a 30-minute run
Chicken Breast,2.8,27.6,13.6,241.1,Go for a 30-minute run
Avocado,48.5,11.9,49.7,64.5,No exercise needed
Salmon,32.1,17.6,15.4,458.9,Go for a 30-minute run
Rice,8.0,18.1,16.3,356.7,Go for a 30-minute run
Almonds,19.7,15.3,14.2,443.9,Go for a 30-minute run
Broccoli,44.6,5.5,2.8,497.0,Go for a 30-minute run
Egg,31.8,13.2,43.5,463.2,Go for a 30-minute run
Yogurt,40.6,6.2,29.8,498.0,Go for a 30-minute run
Chicken Breast,2.3,4.6,24.0,292.4,Go for a 30-minute run
Tofu,16.8,8.8,33.3,143.0,Go for a 30-minute walk
Oats,14.0,5.7,42.8,259.1,Go for a 30-minute run
Tomato,35.3,11.1,5.0,386.5,Go for a 30-minute run
Yogurt,13.2,2.7,6.7,424.0,Go for a 30-minute run
Salmon,10.4,27.8,40.1,33.7,No exercise needed
Broccoli,25.5,0.8,41.5,252.5,Go for a 30-minute run
Broccoli,48.4,23.5,32.1,91.3,No exercise needed
Oats,19.1,24.7,11.2,368.9,Go for a 30-minute run
Spinach,41.7,27.6,6.3,61.5,No exercise needed
Carrot,41.8,12.1,5.6,489.6,Go for a 30-minute run
Tofu,0.1,29.0,23.5,31.9,No exercise needed
Beef,40.5,6.6,40.2,491.0,Go for a 30-minute run
Spinach,20.0,20.5,15.7,289.5,Go for a 30-minute run
Spinach,19.0,4.6,6.5,407.9,Go for a 30-minute run
Egg,35.2,27.8,27.4,54.6,No exercise needed
Turkey,1.2,9.2,18.5,257.7,Go for a 30-minute run
Beef,36.7,4.1,11.8,267.6,Go for a 30-minute run
Carrot,34.4,19.3,7.4,318.7,Go for a 30-minute run
Yogurt,24.4,18.9,44.2,97.7,No exercise needed
Oats,31.7,5.9,29.5,359.6,Go for a 30-minute run
Tofu,10.3,20.2,27.4,37.1,No exercise needed
Rice,41.1,9.8,34.0,258.1,Go for a 30-minute run
Egg,35.3,20.0,32.6,96.8,No exercise needed
Yogurt,14.3,2.6,3.9,274.8,Go for a 30-minute run
Yogurt,10.4,4.9,0.8,234.6,Go for a 30-minute run
Oats,48.6,8.8,33.4,359.1,Go for a 30-minute run
Banana,3.0,26.6,13.3,60.6,No exercise needed
Apple,15.5,26.7,44.3,54.5,No exercise needed
Beef,19.6,9.3,25.3,98.2,No exercise needed
Carrot,36.9,5.8,39.2,231.8,Go for a 30-minute run
Broccoli,11.3,24.0,25.5,243.7,Go for a 30-minute run
Carrot,25.0,24.9,28.1,433.6,Go for a 30-minute run
Broccoli,25.9,2.5,7.9,66.6,No exercise needed
Banana,14.0,6.2,2.8,40.9,No exercise needed
Carrot,24.1,18.5,34.6,33.1,No exercise needed
Egg,36.6,7.1,32.4,408.1,Go for a 30-minute run
Broccoli,7.3,19.3,18.8,446.3,Go for a 30-minute run
Oats,0.9,1.6,18.3,361.3,Go for a 30-minute run
Apple,31.5,29.8,28.3,141.9,Go for a 30-minute walk
Tofu,35.7,2.7,14.6,326.0,Go for a 30-minute run
Almonds,34.9,6.0,41.8,127.3,Go for a 30-minute walk
Egg,16.2,19.5,34.1,322.6,Go for a 30-minute run
Egg,12.3,2.1,22.0,109.9,Go for a 30-minute walk
Broccoli,27.8,18.6,24.1,284.5,Go for a 30-minute run
Avocado,35.5,21.8,5.0,372.0,Go for a 30-minute run
Banana,22.7,3.7,45.1,90.2,No exercise needed
Avocado,14.6,16.3,42.3,394.4,Go for a 30-minute run
Avocado,3.5,28.8,12.2,491.6,Go for a 30-minute run
Yogurt,37.9,23.8,14.6,289.0,Go for a 30-minute run
Tofu,48.7,28.5,49.7,464.3,Go for a 30-minute run
Chicken Breast,12.0,21.9,29.2,177.2,Do 30 minutes of cycling
Beef,2.6,12.7,48.5,170.5,Do 30 minutes of cycling
Tomato,46.9,0.3,1.5,203.8,Go for a 30-minute run
Potato,46.6,6.3,42.4,440.9,Go for a 30-minute run
Carrot,29.7,11.7,7.3,96.7,No exercise needed
Almonds,24.0,7.9,21.9,57.6,No exercise needed
Tofu,25.0,26.7,40.3,493.1,Go for a 30-minute run
Broccoli,25.3,26.8,32.2,429.6,Go for a 30-minute run
Yogurt,48.9,22.0,8.4,92.6,No exercise needed
Turkey,40.0,2.1,37.3,130.4,Go for a 30-minute walk
Tofu,4.8,29.4,21.4,325.9,Go for a 30-minute run
Yogurt,19.0,11.1,26.8,228.1,Go for a 30-minute run
Turkey,38.4,28.2,37.6,494.8,Go for a 30-minute run
Egg,30.9,2.2,27.9,214.1,Go for a 30-minute run
Oats,23.3,28.1,50.0,221.8,Go for a 30-minute run
Almonds,15.3,23.2,30.0,367.3,Go for a 30-minute run
Oats,47.5,13.5,41.6,267.9,Go for a 30-minute run
Almonds,5.4,6.7,46.2,185.9,Do 30 minutes of cycling
Tomato,19.3,5.9,49.1,62.1,No exercise needed
Salmon,35.9,13.6,24.4,259.5,Go for a 30-minute run
Turkey,2.3,23.5,27.7,163.5,Do 30 minutes of cycling
Banana,7.5,17.3,2.8,446.1,Go for a 30-minute run
Banana,4.0,8.6,47.2,295.5,Go for a 30-minute run
Banana,43.7,9.5,14.5,428.1,Go for a 30-minute run
Turkey,35.9,1.1,6.1,322.5,Go for a 30-minute run
Broccoli,47.9,18.0,0.2,227.4,Go for a 30-minute run
Salmon,35.4,6.8,36.5,322.2,Go for a 30-minute run
Beef,25.2,26.7,45.1,205.3,Go for a 30-minute run
Beef,6.3,3.6,36.8,141.1,Go for a 30-minute walk
Turkey,24.1,10.2,34.7,452.9,Go for a 30-minute run
Carrot,0.3,27.9,16.6,192.3,Do 30 minutes of cycling
Spinach,22.5,8.8,32.9,111.6,Go for a 30-minute walk
Spinach,0.1,9.4,36.7,257.2,Go for a 30-minute run
Broccoli,46.5,9.8,20.3,262.6,Go for a 30-minute run
Tofu,12.3,14.2,24.4,390.9,Go for a 30-minute run
Salmon,30.5,21.7,47.2,157.9,Do 30 minutes of cycling
Chicken Breast,39.1,28.4,38.4,344.7,Go for a 30-minute run
Yogurt,33.0,17.0,19.4,36.1,No exercise needed
Egg,3.9,13.2,12.4,442.6,Go for a 30-minute run
Banana,9.8,8.5,22.6,181.3,Do 30 minutes of cycling
Yogurt,37.3,26.5,3.1,292.5,Go for a 30-minute run
Spinach,24.1,22.9,46.6,145.0,Go for a 30-minute walk
Yogurt,35.0,6.3,7.4,251.9,Go for a 30-minute run
Yogurt,1.3,29.6,26.1,40.9,No exercise needed
Potato,14.5,14.7,33.1,419.3,Go for a 30-minute run
Chicken Breast,31.7,29.9,42.1,230.4,Go for a 30-minute run
Beef,0.0,10.7,32.7,81.8,No exercise needed
Turkey,0.3,18.1,31.7,336.4,Go for a 30-minute run
Oats,5.7,12.5,28.7,296.4,Go for a 30-minute run
Turkey,27.5,27.7,12.6,66.9,No exercise needed
Banana,48.6,28.3,32.1,343.9,Go for a 30-minute run
Yogurt,29.5,22.6,47.2,250.9,Go for a 30-minute run
Turkey,10.2,10.9,40.5,48.5,No exercise needed
Banana,16.4,2.9,28.8,422.6,Go for a 30-minute run
Broccoli,36.2,17.9,0.8,47.6,No exercise needed
Chicken Breast,35.2,8.9,21.4,438.3,Go for a 30-minute run
Avocado,13.5,24.3,22.7,410.0,Go for a 30-minute run
Spinach,19.7,12.2,33.1,187.2,Do 30 minutes of cycling
Avocado,32.9,6.3,18.6,133.3,Go for a 30-minute walk
